Day,P5,P25,P50,P75,P95
0,314.8999938964844,314.8999938964844,314.8999938964844,314.8999938964844,314.8999938964844
1,314.4257511247918,314.68153610293075,314.90531611428344,315.10112978302675,315.41243716696226
2,314.2309384362012,314.65362624297745,314.9089969601855,315.17645681662873,315.593319562051
3,314.04981908093526,314.6439744645194,314.9355830321507,315.2828307140399,315.8314595047748
4,313.9711933415725,314.59015589539047,314.9294029665251,315.3481643926468,315.99194052726716
5,313.90420977342455,314.5277948697375,314.93768931249986,315.39070810047247,316.0470884289509
6,313.79856212930787,314.4787578313201,314.95715616202244,315.4606246132839,316.2330168706517
7,313.67770261496133,314.3854491700387,314.97760926250146,315.48425617652265,316.2722083001211
8,313.5849666907026,314.3984031556394,314.9316360605317,315.52984643562695,316.3726363660531
9,313.43879880169237,314.356932866944,314.91777331747295,315.5268115510767,316.4590541774104
10,313.38856406215194,314.27660944482784,314.9380782559633,315.52656390154254,316.44840463855843
11,313.30132023096263,314.23138783733907,314.88500510129995,315.6705333032865,316.5821483817189
12,313.23994237422147,314.16287482543885,314.8628292055053,315.6566450892003,316.69316809401204
13,313.1950532666884,314.1136042511704,314.8985375877102,315.6378272633555,316.72406676829866
14,313.1696304888423,314.10077090378684,314.8577700572031,315.62029003019063,316.7995428604679
15,313.0997748488691,314.0453079636551,314.845088243134,315.6586938745083,316.9086512459756
16,313.0288420088272,313.93071231603614,314.8570570239962,315.69596403792093,317.13045657617795
17,313.0595082224023,314.0147565437776,314.8688832150782,315.73421806957396,317.1457851694876
18,312.96528922552125,313.97799067505235,314.80535781500106,315.81724580912646,317.3283083488667
19,312.9869416049302,313.94413572898287,314.7594783151181,315.8170582447872,317.2895286919411
20,312.82328598919815,313.96467288834003,314.82666775476594,315.80311467821883,317.2818811114394
21,312.73693677975433,313.965763867279,314.79223635416156,315.85174936929354,317.27307748360465
22,312.5530740959292,313.9297954076677,314.8001424223801,315.7919320229082,317.3460425924068
23,312.51251065642975,313.8689591874904,314.78507546359845,315.82404299070436,317.34441553822893
24,312.62111060334576,313.8639666658613,314.80120648524127,315.8268649572781,317.4836487200638
25,312.63399494805,313.82823374779286,314.8373377999873,315.8028075701186,317.395426808307
26,312.3915081279259,313.8817607770471,314.8374139591206,315.8367971010715,317.53847630160135
27,312.2950189728292,313.88872988422474,314.82373994846375,315.9735194536522,317.7113352329452
28,312.39267008400157,313.8912330028747,314.8777158411755,316.00225558387945,317.7093979819409
29,312.331641288071,313.83633012859633,314.9628737930734,315.943945043145,317.8460883032525
30,312.35160153319987,313.8766950848658,314.9330024146283,316.0694032198307,317.66268528572886
31,312.2320421872607,313.7249592454898,315.0042538888337,316.1037289419407,317.65442800998187
32,312.26876596518275,313.7668862509955,314.8983866975841,316.0864574656547,317.726257971907
33,312.277747059667,313.77081114897396,314.9201003998933,316.21091911396945,317.8043542847582
34,312.1658055467739,313.7358688762093,314.94773508534746,316.16840731190916,317.9440816303756
35,312.03578203841374,313.6793914715063,314.99409507735675,316.16533265564476,318.0473664227379
36,312.0370804500806,313.6363931559416,315.0161747366975,316.19910367957544,318.0941589083508
37,311.92873823537303,313.6621954329118,315.10635984409697,316.28261808392216,318.19327082685476
38,311.8754997978553,313.6417892767249,315.0375921569969,316.2447360819075,318.3368009909643
39,311.8788301338537,313.67108106164403,315.0187603618934,316.3291104722662,318.33131805484464
40,311.7497381638005,313.6215003303642,315.07543496417054,316.42719277512714,318.42137720190743
41,311.74469596628836,313.6351711974975,315.05179243124434,316.4088888317531,318.46815620575
42,311.61422115906345,313.56591394982183,315.00441544895455,316.4545758561743,318.4604576538141
43,311.6075806336461,313.4972662960017,315.08461691727496,316.3297705912258,318.66173836914703
44,311.52702076667583,313.5752297322198,315.0480470156481,316.4084057821558,318.6196311015224
